prod_1,prod_4,prod_5,prod_6,prod_8,prod_9,prod_11,prod_2,prod_3,prod_7,prod_10,prod_0
"[32, 3, 2]","[12, 23, 0, 8, 45, 22]","[21, 16]","[31, 4, 18, 34, 4, 27, 21]","[218, 23, 2, 26, 422, 467, 0, 81]","[297.1178677058952, 0, 5.165612610154968, 5.097740794268304, 17.985679352044613, 11.778352156061601, 0, 29.454605287232315]","[0, 0, 416.10451141833596, 470.25789915175477]","[2, 35, 5, 22, 16]","[11, 32, 18, 34, 43, 32, 25, 31, 38]","[27, 35, 36, 27, 22, 20, 1, 33]","[0, 0, 280.7316463881643]","[21, 18, 46, 37, 43, 2]"
35.905024677745395,44.23500001150437,17.990000003758983,36.61500000128725,41.995,45.335,29.825,49.27500027448718,35.21000000000001,20.880000000000727,1.42,21.215000000000018
